id_pregunta,materia,grado,pregunta
68,mat6,6,¿Cómo se descompone 8 en factores primos?
69,mat6,6,¿Cuánto es 6/100?
70,mat6,6,¿Cuánto es el 50% de 10?
71,mat6,6,¿Es 2,34 mayor que 3,344?

72,soc2,6,¿Qué es la constitución Política de Colombia?
73,soc2,6,¿En qué continente está ubicada Colombia?
74,soc2,6,¿Qué oceanos rodean a Colombia?
75,soc2,6,¿Cuál de los siguientes es un derecho es fundamental?

76,nat4,6,¿Qué es la atmósfera?
77,nat4,6,¿Qué es la fotosíntesis?
78,nat4,6,¿Qué le provee energía al cuerpo humano?
79,nat4,6,¿Cuáles son los estados de la materia?


80,mat7,7,
81,mat7,7,
82,mat7,7,
83,mat7,7,

84,esp7,7,
85,esp7,7,
86,esp7,7,
87,esp7,7,

88,nat5,7,¿Qué es la evaporación?
89,nat5,7,
90,nat5,7,
91,nat5,7,

92,soc3,7,
93,soc3,7,
94,soc3,7,
95,soc3,7,

96,esp8,8,
97,esp8,8,
98,esp8,8,
99,esp8,8,

100,mat8,8,
101,mat8,8,
102,mat8,8,
103,mat8,8,

104,soc4,8,
105,soc4,8,
106,soc4,8,
107,soc4,8,

108,nat5,8,
109,nat5,8,
110,nat5,8,
111,nat5,8,


112,esp9,9,
113,esp9,9,
114,esp9,9,
115,esp9,9,

116,mat9,9,
117,mat9,9,
118,mat9,9,
119,mat9,9,

120,soc5,9,
121,soc5,9,
122,soc5,9,
123,soc5,9,

124,nat6,9,
125,nat6,9,
126,nat6,9,
127,nat6,9,

128,geo1,9,
129,geo1,9,
130,geo1,9,
131,geo1,9,


132,trig1,10,
133,trig1,10,
134,trig1,10,
135,trig1,10,

136,fis1,10,
137,fis1,10,
138,fis1,10,
139,fis1,10,

140,qui1,10,
141,qui1,10,
142,qui1,10,
143,qui1,10,

144,esp10,10,
145,esp10,10,
146,esp10,10,
147,esp10,10,

148,fil1,10,¿Cuáles son los filósofos socráticos?
149,fil1,10,¿En qué se centra la filosofía de Aristóteles?
150,fil1,10,
151,fil1,10,

152,soc6,10,
153,soc6,10,
154,soc6,10,
155,soc6,10,


156,cal1,11,
157,cal1,11,
158,cal1,11,
159,cal1,11,

160,fis2,11,
161,fis2,11,
162,fis2,11,
163,fis2,11,

164,qui2,11,
165,qui2,11,
166,qui2,11,
167,qui2,11,

168,esp11,11,¿Qué es un texto argumentativo?
169,esp11,11,
170,esp11,11,
171,esp11,11,

172,fil2,11,
173,fil2,11,
174,fil2,11,
175,fil2,11,

176,soc7,11,¿Qué es el capitalismo?
177,soc7,11,
178,soc7,11,
179,soc7,11,
